model,level,exp(coef),lower .95,upper .95
standard,exp.Basica,1.02663261073902,0.871599543508786,1.20924170426919
standard,exp.Basicb,0.41094048220164,0.299264844533224,0.564289735319605
standard,exp.Basicc,4.38727843036391,3.74593324322721,5.13842900439776
standard,exp.Basicd,2.09061594264058,1.9197693708554,2.2766667111037
short,exp.Basica,0.878935909106937,0.746281295087139,1.03517043426291
short,exp.Basicb,0.343545897784334,0.249058688284408,0.473879408493748
short,exp.Basicc,3.41517526570636,2.93513239319212,3.97372947215095
short,exp.Basicd,1.90287173788388,1.74729345466981,2.0723026467935
long,exp.Basica,1.11220359039242,0.943834169273342,1.31060822626729
long,exp.Basicb,0.480665823575033,0.352665045940266,0.655124846118711
long,exp.Basicc,4.52471229692034,3.86360601537738,5.29894127103497
long,exp.Basicd,2.34649427112866,2.15288782601717,2.55751149590814
endDeath,exp.Basica,1.70015282970839,1.46477440135705,1.97335483313164
endDeath,exp.Basicb,0.74664422437309,0.564867617356272,0.986917253991004
endDeath,exp.Basicc,6.16738116484194,5.48650244755943,6.93275739799715
endDeath,exp.Basicd,3.2830806673581,3.05488331372586,3.52832418179483
end2019,exp.Basica,2.66002036063631,2.29220225515903,3.08686037764535
end2019,exp.Basicb,1.22696935942802,0.929953395837528,1.61884866028084
end2019,exp.Basicc,9.53477321602782,8.48380348677969,10.7159365988085
end2019,exp.Basicd,5.05651273576303,4.70553674057856,5.43366728527339
farr1,exp.Basicc,3.20040901018912,1.60887285547404,6.36633143361835
farr1,exp.Basicd,1.84466579454129,1.2259686778782,2.77559447884093
farr2,exp.Basicc,3.78821249753907,1.99605980354055,7.18944086798233
farr2,exp.Basicd,2.26299653811122,1.56105373829472,3.28057465664036
farr3,exp.Basicc,3.79587017449285,1.99685823073649,7.21565014472264
farr3,exp.Basicd,1.56777727802475,1.02426163631546,2.39970482769668
farr4,exp.Basicc,6.75509504304332,3.93833703182687,11.5864408433784
farr4,exp.Basicd,3.26570565273251,2.30414978547813,4.62853303960707
farr5,exp.Basicc,4.20236700365851,2.24008482888633,7.88358021344106
farr5,exp.Basicd,2.12967783100921,1.43186468287501,3.16756724160923
farr6,exp.Basicc,4.03481269115234,2.11904677178802,7.68256447635998
farr6,exp.Basicd,2.1117048009088,1.4331370808426,3.11156359415351
farr7,exp.Basicc,5.34830383920077,3.10729810409308,9.20553902399347
farr7,exp.Basicd,2.6616404822943,1.88130561568634,3.76564551655968
farr8,exp.Basicc,4.72212013419687,2.50377079673389,8.90593443731959
farr8,exp.Basicd,1.84435072140078,1.2178731392501,2.79309024388706
farr9,exp.Basicc,4.93273351912242,2.66144987611636,9.14233260187464
farr9,exp.Basicd,2.57821657940743,1.78095674727404,3.73237628623248
farr10,exp.Basicc,6.62620694013868,3.92000518359457,11.2006531515044
farr10,exp.Basicd,2.45751843319966,1.70359220463523,3.54509537733489
farr_ma,exp.Basicc,4.79729396682913,3.96412757262249,5.80557234411861
farr_ma,exp.Basicd,2.28435860031376,2.02500175517414,2.57693318116591
ahm,exp.Basica,4.92879456598337,3.00514876547161,8.08379809771405
ahm,exp.Basicb,0.937675132717615,0.278799963521568,3.1536397760288
ahm,exp.Basicc,3.46108639806781,1.68003755709782,7.13026860874666
ahm,exp.Basicd,2.61680356675657,1.75305964271919,3.90611975777872
