strat,value,lev,coef,lower,upper
year,2010,exp.Basica,0.910188379,0.49666296,1.668018258
year,2010,exp.Basicb,0.408992761,0.13277053,1.259881076
year,2010,exp.Basicc,2.867946849,1.62612116,5.058121948
year,2010,exp.Basicd,2.083807704,1.538974534,2.821524628
year,2011,exp.Basica,0.919226081,0.513269296,1.646263658
year,2011,exp.Basicb,0.65067544,0.283793979,1.491851695
year,2011,exp.Basicc,3.91032456,2.260793479,6.763394494
year,2011,exp.Basicd,3.08355365,2.342285573,4.059412405
year,2012,exp.Basica,1.197586894,0.686722014,2.088493364
year,2012,exp.Basicb,0.214881745,0.050331626,0.917398623
year,2012,exp.Basicc,4.831641657,2.871494689,8.129829107
year,2012,exp.Basicd,2.404592271,1.797214234,3.217236922
year,2013,exp.Basica,0.92238183,0.550520052,1.545426432
year,2013,exp.Basicb,0.590711572,0.22931612,1.521655616
year,2013,exp.Basicc,3.937920233,2.220551847,6.98349637
year,2013,exp.Basicd,1.701526553,1.28478741,2.253440988
year,2014,exp.Basica,0.646438094,0.333560101,1.252794352
year,2014,exp.Basicb,0.370489786,0.129652615,1.058695822
year,2014,exp.Basicc,5.754129103,3.470091348,9.541536063
year,2014,exp.Basicd,1.821354491,1.388013551,2.389985442
year,2015,exp.Basica,0.993787006,0.626559615,1.576246841
year,2015,exp.Basicb,0.427862757,0.190662469,0.960160329
year,2015,exp.Basicc,5.718211991,3.635626789,8.993758234
year,2015,exp.Basicd,2.534734889,2.022899809,3.176074726
year,2016,exp.Basica,1.434569832,0.943098509,2.182158684
year,2016,exp.Basicb,0.367609143,0.127446038,1.060342743
year,2016,exp.Basicc,4.643847243,3.108112793,6.93839595
year,2016,exp.Basicd,2.044998967,1.611715649,2.594763399
year,2017,exp.Basica,1.398553074,0.913692738,2.140709475
year,2017,exp.Basicb,0.553057989,0.234158195,1.30626707
year,2017,exp.Basicc,2.812699861,1.715312928,4.612149992
year,2017,exp.Basicd,1.996846703,1.542687988,2.584707203
year,2018,exp.Basica,0.679100727,0.353683865,1.303926592
year,2018,exp.Basicb,0.265397832,0.086723509,0.812190486
year,2018,exp.Basicc,4.365195157,2.499516758,7.62344509
year,2018,exp.Basicd,2.037548619,1.503274912,2.761706687
year,2019,exp.Basica,0.980437235,0.585454793,1.641898203
year,2019,exp.Basicb,0.206108303,0.047334227,0.897461202
year,2019,exp.Basicc,5.595744197,3.372024168,9.285921915
year,2019,exp.Basicd,1.475776204,1.096545994,1.986159647
sex,1,exp.Basica,1.005351887,0.818741322,1.234495426
sex,1,exp.Basicb,0.367671728,0.247796652,0.54553804
sex,1,exp.Basicc,4.471704079,3.700726705,5.403300207
sex,1,exp.Basicd,2.329325626,2.105195939,2.577317279
sex,2,exp.Basica,1.058173774,0.806723398,1.387999578
sex,2,exp.Basicb,0.515209857,0.303597233,0.87432021
sex,2,exp.Basicc,4.197935692,3.148788895,5.59664832
sex,2,exp.Basicd,1.623755331,1.384513272,1.9043381
